
39732 atoms

4 atom types

0.000000 5.084700 xlo xhi
0.000000 5.084700 ylo yhi
0.000000 7.098580 zlo zhi

Masses

1 28.085500
2 15.999400
3 15.999400
4 1.008000

Atoms

1 1 1 0.0 3.587511 3.587511 6.561636
2 1 1 0.0 4.039541 1.045160 1.237701
3 1 1 0.0 1.045160 4.039541 4.786992
4 1 1 0.0 1.497190 1.497190 3.012347
5 1 2 0.0 4.606215 3.859176 5.323935
6 1 3 0.0 0.478486 1.225525 1.774645
7 1 2 0.0 3.859176 4.606215 0.700758
8 1 2 0.0 1.316826 3.020836 3.549291
9 1 2 0.0 1.225525 0.478486 4.250048
10 1 2 0.0 2.063865 3.767875 6.024693
11 1 2 0.0 3.020836 1.316826 2.475402
12 1 2 0.0 3.767875 2.063865 0.000000
13 1 1 0.0 3.587511 8.672211 6.561636
14 1 1 0.0 4.039541 6.129860 1.237701
15 1 1 0.0 1.045160 9.124241 4.786992
16 1 1 0.0 1.497190 6.581890 3.012347
17 1 2 0.0 4.606215 8.943876 5.323935
18 1 2 0.0 0.478486 6.310225 1.774645
19 1 2 0.0 3.859176 9.690915 0.700758
20 1 2 0.0 1.316826 8.105536 3.549291
21 1 2 0.0 1.225525 5.563186 4.250048
22 1 2 0.0 2.063865 8.852575 6.024693
23 1 2 0.0 3.020836 6.401526 2.475402
24 1 2 0.0 3.767875 7.148565 0.000000
25 1 1 0.0 3.587511 13.756911 6.561636
26 1 1 0.0 4.039541 11.214560 1.237701
27 1 1 0.0 1.045160 14.208941 4.786992
28 1 1 0.0 1.497190 11.666590 3.012347
29 1 2 0.0 4.606215 14.028576 5.323935
30 1 2 0.0 0.478486 11.394925 1.774645
31 1 2 0.0 3.859176 14.775615 0.700758
32 1 2 0.0 1.316826 13.190236 3.549291
33 1 2 0.0 1.225525 10.647886 4.250048
34 1 2 0.0 2.063865 13.937275 6.024693
35 1 2 0.0 3.020836 11.486226 2.475402
36 1 2 0.0 3.767875 12.233265 0.000000
37 1 1 0.0 3.587511 18.841611 6.561636
38 1 1 0.0 4.039541 16.299260 1.237701
39 1 1 0.0 1.045160 19.293641 4.786992
40 1 1 0.0 1.497190 16.751290 3.012347
41 1 2 0.0 4.606215 19.113276 5.323935
42 1 2 0.0 0.478486 16.479625 1.774645
43 1 2 0.0 3.859176 19.860315 0.700758
44 1 2 0.0 1.316826 18.274936 3.549291
45 1 2 0.0 1.225525 15.732586 4.250048
46 1 2 0.0 2.063865 19.021975 6.024693
47 1 2 0.0 3.020836 16.570926 2.475402
48 1 2 0.0 3.767875 17.317965 0.000000
49 1 1 0.0 3.587511 23.926311 6.561636
50 1 1 0.0 4.039541 21.383960 1.237701
51 1 1 0.0 1.045160 24.378341 4.786992
52 1 1 0.0 1.497190 21.835990 3.012347
53 1 2 0.0 4.606215 24.197976 5.323935
54 1 2 0.0 0.478486 21.564325 1.774645
55 1 2 0.0 3.859176 24.945015 0.700758
56 1 2 0.0 1.316826 23.359636 3.549291
57 1 2 0.0 1.225525 20.817286 4.250048
58 1 2 0.0 2.063865 24.106675 6.024693
59 1 2 0.0 3.020836 21.655626 2.475402
60 1 2 0.0 3.767875 22.402665 0.000000
61 1 1 0.0 3.587511 29.011011 6.561636
62 1 1 0.0 4.039541 26.468660 1.237701
63 1 1 0.0 1.045160 29.463041 4.786992
64 1 1 0.0 1.497190 26.920690 3.012347
65 1 2 0.0 4.606215 29.282676 5.323935
66 1 2 0.0 0.478486 26.649025 1.774645
67 1 2 0.0 3.859176 30.029715 0.700758
68 1 2 0.0 1.316826 28.444336 3.549291
69 1 2 0.0 1.225525 25.901986 4.250048
70 1 2 0.0 2.063865 29.191375 6.024693
71 1 2 0.0 3.020836 26.740326 2.475402
72 1 2 0.0 3.767875 27.487365 0.000000
73 1 1 0.0 3.587511 34.095711 6.561636
74 1 1 0.0 4.039541 31.553360 1.237701
75 1 1 0.0 1.045160 34.547741 4.786992
76 1 1 0.0 1.497190 32.005390 3.012347
77 1 2 0.0 4.606215 34.367376 5.323935
78 1 2 0.0 0.478486 31.733725 1.774645
79 1 2 0.0 3.859176 35.114415 0.700758
80 1 2 0.0 1.316826 33.529036 3.549291
81 1 2 0.0 1.225525 30.986686 4.250048
82 1 2 0.0 2.063865 34.276075 6.024693
