
50286 atoms
116 bonds

4 atom types
1 bond types

-25.871892 229.167074 xlo xhi
-76.712796 178.364142 ylo yhi
0.999569 205.022343 zlo zhi

Masses

1 28.0855
2 15.9994
3 15.9994
4 1.0080

Atoms

1       1 1 0.0 132.658309 92.787475 18.432270
2       1 1 0.0 123.455227 97.914266 13.948910
3       1 1 0.0 132.504010 91.310324 15.620040
4       1 1 0.0 125.797505 94.036969 13.484003
5       1 2 0.0 130.858626 91.235204 14.917018
6       1 3 0.0 126.726740 94.917112 9.154864
7       1 2 0.0 123.396696 92.082059 6.714140
8       1 2 0.0 127.311289 93.625530 13.181682
9       1 2 0.0 130.039186 93.266382 13.399109
10      1 2 0.0 132.569682 91.683247 17.143090
11      1 2 0.0 125.791002 94.987131 14.784302
12      1 2 0.0 123.998460 97.047770 12.715633
13      1 1 0.0 133.470480 88.495550 14.396597
14      1 1 0.0 126.096794 93.631269 8.399694
15      1 1 0.0 133.497004 88.435352 11.269193
16      1 1 0.0 131.542896 90.788182 10.991151
17      1 2 0.0 131.976972 87.844211 14.512115
18      1 2 0.0 131.698979 91.716279 12.300977
19      1 2 0.0 129.511893 91.591164 7.180577
20      1 2 0.0 132.782257 89.809706 10.861556
21      1 2 0.0 130.587137 89.125845 16.303822
22      1 2 0.0 133.861582 88.570033 12.842290
23      1 2 0.0 130.154719 89.988388 11.343131
24      1 2 0.0 127.210421 92.687102 7.729398
25      1 1 0.0 136.725160 83.759154 11.930798
26      1 1 0.0 130.148725 90.853991 8.453516
27      1 1 0.0 137.739960 85.429780 9.835586
28      1 1 0.0 135.107958 86.872751 9.112734
29      1 2 0.0 135.924210 82.907325 10.764053
30      1 2 0.0 134.616243 87.916908 10.233512
31      1 2 0.0 131.530144 86.726974 7.778139
32      1 2 0.0 136.006715 87.401398 7.890943
33      1 2 0.0 136.157698 85.820303 9.737574
34      1 2 0.0 137.672502 84.955337 11.363472
35      1 2 0.0 133.876630 86.063009 8.519680
36      1 2 0.0 130.802517 89.436529 8.057283
37      1 1 0.0 138.090256 79.801890 10.007170
38      1 1 0.0 132.406330 85.465746 8.315698
39      1 1 0.0 139.541300 79.097368 7.216791
40      1 1 0.0 137.324884 86.648793 7.359525
41      1 2 0.0 136.675555 80.556408 10.002008
42      1 2 0.0 137.132967 85.022040 7.190656
43      1 2 0.0 137.476250 87.118262 5.833639
44      1 2 0.0 138.310992 84.129908 9.059443
45      1 2 0.0 138.233460 86.574438 8.735006
46      1 2 0.0 138.729129 79.522198 8.555364
47      1 2 0.0 137.479310 82.147833 7.579278
48      1 2 0.0 132.311966 84.230026 7.302521
49      1 1 0.0 138.296710 76.700665 10.442779
50      1 1 0.0 135.694292 81.359645 4.925309
51      1 1 0.0 140.245590 76.360647 7.988711
52      1 1 0.0 137.941696 83.685182 7.572566
53      1 2 0.0 138.016550 78.276913 10.547707
54      1 2 0.0 138.904468 83.204999 6.357733
55      1 2 0.0 135.391689 82.961656 4.780167
56      1 2 0.0 138.754505 78.296171 6.072488
57      1 2 0.0 140.586322 77.921846 7.716116
58      1 2 0.0 139.015920 76.418550 9.043958
59      1 2 0.0 139.593073 80.587272 6.560694
60      1 2 0.0 136.744543 87.680452 3.126810
61      1 1 0.0 139.936100 72.780005 11.843925
62      1 1 0.0 138.428183 81.634491 6.290507
63      1 1 0.0 140.676734 73.576228 8.749818
64      1 1 0.0 138.021268 77.809102 4.678911
65      1 2 0.0 138.373859 72.909329 11.552744
66      1 2 0.0 138.242004 78.704549 3.475768
67      1 2 0.0 136.518196 77.604658 5.303751
68      1 2 0.0 138.486076 76.216019 4.495331
69      1 2 0.0 141.077272 75.094701 8.644277
70      1 2 0.0 140.566812 72.827067 10.292618
71      1 2 0.0 137.138450 75.372097 6.357569
72      1 2 0.0 132.094162 82.461578 5.057149
73      1 1 0.0 137.560540 67.473002 9.471018
74      1 1 0.0 135.896156 76.427733 6.196147
75      1 1 0.0 138.817882 70.214058 8.755816
76      1 1 0.0 138.603904 75.126330 5.654017
77      1 2 0.0 136.153235 67.902551 10.172346
78      1 2 0.0 138.782432 73.509908 5.631167
79      1 2 0.0 133.830595 75.078758 2.944005
80      1 2 0.0 140.349519 70.382664 9.311003
81      1 2 0.0 142.232089 70.937202 11.070863
82      1 2 0.0 138.251951 68.726577 8.758101
83      1 2 0.0 139.766755 75.663139 6.628552
84      1 2 0.0 134.697345 75.807513 5.357695
85      1 1 0.0 138.252461 63.253902 11.132661
86      1 1 0.0 135.206913 72.504777 6.284550
87      1 1 0.0 136.985555 64.626216 8.940681
88      1 1 0.0 138.377940 72.486921 6.831208
89      1 2 0.0 136.306386 64.886649 10.395343
90      1 2 0.0 138.770317 70.988982 7.338348
91      1 2 0.0 131.956569 69.870087 6.165910
92      1 2 0.0 137.435953 66.125558 8.571482
93      1 2 0.0 139.265986 73.232384 8.053264
94      1 2 0.0 138.045369 63.563310 9.528512
95      1 2 0.0 136.786879 72.342293 6.607742
96      1 2 0.0 134.848583 73.372931 4.969358
97      1 1 0.0 132.597737 61.638882 16.662943
98      1 1 0.0 133.318094 67.404896 6.736909
99      1 1 0.0 135.381232 62.288053 12.230977
100     1 1 0.0 134.122997 64.738449 8.116613
101     1 2 0.0 131.922266 61.566440 15.178453
102     1 2 0.0 133.920624 68.508359 5.686538
103     1 2 0.0 133.060888 63.548260 8.335978
104     1 2 0.0 134.042022 65.359434 9.633930
105     1 2 0.0 135.680010 64.232249 8.077155
106     1 2 0.0 133.996881 58.488427 13.173236
107     1 2 0.0 133.866811 65.915502 7.046534
108     1 2 0.0 133.281879 68.118091 8.196447
109     1 1 0.0 125.772894 56.722912 17.416114
110     1 1 0.0 132.407095 60.185964 10.969504
111     1 1 0.0 127.810145 57.136774 12.346760
112     1 1 0.0 134.801911 59.097423 11.887749
113     1 2 0.0 124.432154 55.831418 17.443290
114     1 2 0.0 136.161906 58.213071 12.043786
115     1 2 0.0 126.305543 57.733654 12.249869
116     1 2 0.0 128.898779 58.326070 12.266701
117     1 2 0.0 135.190845 60.701602 11.915211
118     1 2 0.0 127.961256 56.570121 13.834412
119     1 2 0.0 133.638296 59.171395 10.766685
120     1 2 0.0 128.328895 63.110548 7.193165
121     1 1 0.0 127.038270 92.998806 18.134804
122     1 1 0.0 120.758828 98.387816 12.979924
123     1 1 0.0 131.344093 92.424628 13.672520
124     1 1 0.0 123.762804 97.440971 16.387859
125     1 2 0.0 126.734518 94.257611 17.164758
126     1 2 0.0 124.243043 98.521094 15.240088
127     1 2 0.0 122.577383 94.975014 13.028196
128     1 2 0.0 125.008797 92.688122 13.898006
129     1 2 0.0 124.962253 96.447574 16.784051
130     1 2 0.0 126.637986 91.595373 17.421051
131     1 2 0.0 122.682077 97.631258 17.560644
132     1 2 0.0 122.266746 98.772600 13.323907
133     1 1 0.0 133.546482 88.478587 18.888342
134     1 1 0.0 123.712562 95.590898 12.046214
135     1 1 0.0 130.508713 87.982080 15.103046
136     1 1 0.0 128.555624 92.683148 13.055719
137     1 2 0.0 133.355968 94.040923 17.923988
138     1 2 0.0 125.225070 92.678812 9.396550
139     1 2 0.0 123.191517 90.975280 8.917341
140     1 2 0.0 132.611381 92.560584 14.603966
141     1 2 0.0 128.547463 91.917917 11.646860
142     1 2 0.0 132.107042 88.834420 18.270276
143     1 2 0.0 128.562383 91.459289 14.128736
144     1 2 0.0 122.980472 95.488994 10.606405
145     1 1 0.0 132.600032 83.721147 16.026311
146     1 1 0.0 124.653783 91.178832 9.552403
147     1 1 0.0 133.920496 84.073791 13.171175
148     1 1 0.0 128.631498 90.437323 10.987683
149     1 2 0.0 129.934492 86.696365 15.822063
150     1 2 0.0 131.143887 91.473573 9.578048
151     1 2 0.0 127.474386 86.056504 8.245494
152     1 2 0.0 132.385034 87.269140 11.180117
153     1 2 0.0 133.211105 89.985837 15.063364
154     1 2 0.0 133.329571 84.172124 14.668417
155     1 2 0.0 127.000142 88.324393 8.995298
156     1 2 0.0 125.482915 90.311825 8.491933
157     1 1 0.0 133.417432 80.993610 12.466480
158     1 1 0.0 127.923255 87.074772 9.384268
159     1 1 0.0 135.382635 81.501468 10.108344
160     1 1 0.0 131.918951 85.740209 11.300409
161     1 2 0.0 131.834023 80.821815 12.270374
162     1 2 0.0 131.941011 85.121520 9.814592
163     1 2 0.0 129.003345 83.937963 10.358864
164     1 2 0.0 133.020081 85.029054 12.233833
165     1 2 0.0 135.516785 84.253493 12.909373
166     1 2 0.0 134.347177 80.815439 11.171793
167     1 2 0.0 130.409120 85.626445 11.803590
168     1 2 0.0 129.415998 87.508657 8.946843
169     1 1 0.0 133.457856 75.145461 12.957012
170     1 1 0.0 128.906558 85.139120 11.459098
171     1 1 0.0 135.343869 75.956733 10.776254
172     1 1 0.0 134.123762 80.561382 7.602761
173     1 2 0.0 132.280596 76.150336 12.523750
174     1 2 0.0 134.727440 80.881886 6.151690
175     1 2 0.0 129.442905 79.714016 6.744845
176     1 2 0.0 134.854066 79.243017 8.184961
177     1 2 0.0 134.532972 81.650050 8.731334
178     1 2 0.0 134.805737 75.664542 12.252073
179     1 2 0.0 132.562286 80.021129 7.666029
180     1 2 0.0 128.269853 84.298514 6.616413
181     1 1 0.0 135.290183 70.559560 13.011446
182     1 1 0.0 131.725631 78.638612 7.999667
183     1 1 0.0 137.150310 72.068213 10.860352
184     1 1 0.0 134.535395 77.756811 8.670596
185     1 2 0.0 133.115593 73.652623 12.527116
186     1 2 0.0 137.257809 81.229556 5.298814
187     1 2 0.0 131.078852 77.922356 6.705122
188     1 2 0.0 134.631800 74.859902 9.829302
189     1 2 0.0 134.924585 77.375726 10.168715
190     1 2 0.0 136.308426 71.374276 12.050723
191     1 2 0.0 132.930180 77.705923 8.542653
192     1 2 0.0 123.313681 77.851955 8.499176
193     1 1 0.0 132.381974 66.459071 14.075975
194     1 1 0.0 132.055396 71.717099 9.980483
195     1 1 0.0 135.038077 67.907143 11.371796
196     1 1 0.0 134.694412 73.370763 9.250531
197     1 2 0.0 131.360033 67.710861 13.923570
198     1 2 0.0 135.373071 76.850395 7.645422
199     1 2 0.0 128.731474 71.982889 7.592968
200     1 2 0.0 135.367970 69.039429 12.453607
201     1 2 0.0 136.078254 72.807043 9.918848
202     1 2 0.0 134.942693 66.366350 11.846782
203     1 2 0.0 133.458238 72.490110 9.764546
204     1 2 0.0 130.914480 72.403001 9.109816
205     1 1 0.0 131.349449 64.219495 12.198068
206     1 1 0.0 128.916377 70.135750 11.497148
207     1 1 0.0 134.824609 65.023115 11.004841
208     1 1 0.0 132.605515 68.614981 9.573988
209     1 2 0.0 129.796771 64.419731 12.551476
210     1 2 0.0 134.706399 73.229068 7.647871
211     1 2 0.0 128.584189 67.461523 9.308983
212     1 2 0.0 132.172459 65.439401 12.854307
213     1 2 0.0 133.603228 68.277769 10.766114
214     1 2 0.0 134.558094 63.524411 11.545644
215     1 2 0.0 132.344483 70.197223 9.550016
216     1 2 0.0 129.285801 69.876847 9.974301
217     1 1 0.0 128.395842 59.547634 16.936007
218     1 1 0.0 128.084695 65.982204 9.609509
219     1 1 0.0 131.520452 61.389034 13.631185
220     1 1 0.0 131.987301 62.898452 9.360009
221     1 2 0.0 128.163757 58.505262 15.720868
222     1 2 0.0 131.119148 68.004710 9.694586
223     1 2 0.0 130.903385 59.612551 11.013553
224     1 2 0.0 132.442418 61.482392 10.014596
225     1 2 0.0 131.671945 63.844277 10.667428
226     1 2 0.0 130.162115 60.594469 13.218651
227     1 2 0.0 130.565204 62.759052 8.630424
228     1 2 0.0 125.332697 68.506828 10.743345
229     1 1 0.0 123.111945 54.977930 21.379011
230     1 1 0.0 124.615527 61.422832 11.311671
231     1 1 0.0 123.861760 54.631663 18.358169
232     1 1 0.0 129.577565 59.725932 11.947508
233     1 2 0.0 120.516158 54.683189 19.319401
234     1 2 0.0 128.448508 60.607861 11.231735
235     1 2 0.0 123.635157 57.651009 11.578533
236     1 2 0.0 124.272117 58.619026 13.862874
237     1 2 0.0 131.555392 62.869628 13.038193
238     1 2 0.0 122.455730 54.148803 17.735777
239     1 2 0.0 124.850546 59.888799 11.763153
240     1 2 0.0 123.592183 61.438902 10.063439
241     1 1 0.0 124.584285 92.586857 19.835885
242     1 1 0.0 118.180894 98.841981 14.031539
243     1 1 0.0 125.532647 94.987003 16.360398
244     1 1 0.0 121.722365 96.615797 18.393975
245     1 2 0.0 124.256177 94.033781 16.651090
246     1 2 0.0 119.719289 99.258011 13.869096
247     1 2 0.0 120.776553 96.786953 13.262067
248     1 2 0.0 122.931505 96.842688 15.103087
249     1 2 0.0 122.279243 95.204584 17.837094
250     1 2 0.0 124.228761 91.068001 19.475601
251     1 2 0.0 121.943867 96.588376 19.999817
252     1 2 0.0 117.757147 98.747730 12.454668
253     1 1 0.0 126.982289 90.027160 17.253304
254     1 1 0.0 121.064875 95.228433 13.541456
255     1 1 0.0 129.320614 90.352638 15.035454
256     1 1 0.0 124.414557 91.220792 14.077526
257     1 2 0.0 125.695235 89.199817 16.746307
258     1 2 0.0 125.032133 94.726187 12.260417
259     1 2 0.0 120.708330 91.679165 12.547192
260     1 2 0.0 124.089892 90.711658 15.570197
261     1 2 0.0 125.991462 93.106448 19.345904
262     1 2 0.0 128.244859 90.074986 16.225008
263     1 2 0.0 123.058132 90.984591 13.240543
264     1 2 0.0 120.212152 94.284521 12.534828
265     1 1 0.0 129.434616 84.427200 19.546071
266     1 1 0.0 121.601477 90.379293 12.895969
267     1 1 0.0 130.019420 85.225591 16.490993
268     1 1 0.0 125.795593 89.565215 11.998554
269     1 2 0.0 127.906678 84.631262 20.097585
270     1 2 0.0 124.999616 90.541650 10.969015
271     1 2 0.0 122.786005 87.332527 13.168400
272     1 2 0.0 127.353243 89.661889 11.557743
273     1 2 0.0 129.571954 88.959152 14.245661
274     1 2 0.0 129.511383 84.944241 18.005107
275     1 2 0.0 125.059423 88.144054 12.016937
276     1 2 0.0 121.473702 89.496217 11.557069
277     1 1 0.0 130.669005 81.276235 16.646438
278     1 1 0.0 124.003434 86.930526 12.167710
279     1 1 0.0 130.294735 81.234913 12.448873
280     1 1 0.0 128.782736 82.370132 9.949798
281     1 2 0.0 129.101280 81.567916 17.070846
282     1 2 0.0 129.076414 81.829752 8.468409
283     1 2 0.0 125.298649 83.682503 9.220478
284     1 2 0.0 128.038405 86.322039 10.794269
285     1 2 0.0 129.377487 84.276450 15.350730
286     1 2 0.0 129.606512 80.071762 13.315929
287     1 2 0.0 127.199454 82.222443 10.221863
288     1 2 0.0 123.459308 86.589360 10.688565
289     1 1 0.0 129.995064 79.050306 14.506239
290     1 1 0.0 125.727242 82.769455 10.488929
291     1 1 0.0 130.884513 76.913909 12.653977
292     1 1 0.0 128.925176 83.502291 14.015442
293     1 2 0.0 128.690285 78.251660 14.996200
294     1 2 0.0 128.428105 84.506529 12.856511
295     1 2 0.0 129.620157 81.551591 11.043687
296     1 2 0.0 130.078462 82.599319 13.324090
297     1 2 0.0 131.616219 82.427525 15.990525
298     1 2 0.0 130.983213 77.968652 13.874095
299     1 2 0.0 127.729298 82.531469 14.423691
300     1 2 0.0 125.478197 79.290461 9.317879
301     1 1 0.0 130.821390 72.372519 15.590436
302     1 1 0.0 126.379887 78.937817 10.630622
303     1 1 0.0 132.547749 72.188737 12.868303
304     1 1 0.0 129.376085 78.056526 10.062194
305     1 2 0.0 130.048367 73.743558 15.941458
306     1 2 0.0 130.507310 78.677766 9.080396
307     1 2 0.0 127.144749 76.209642 12.661914
308     1 2 0.0 128.755447 76.672096 9.477261
309     1 2 0.0 130.220264 77.674931 11.395810
310     1 2 0.0 131.812217 72.326606 14.312560
311     1 2 0.0 127.992498 78.897132 10.345154
312     1 2 0.0 125.888299 77.420237 10.838889
313     1 1 0.0 128.748051 70.142382 15.670638
314     1 1 0.0 127.272013 72.552094 12.315973
315     1 1 0.0 129.896492 68.261572 13.515647
316     1 1 0.0 128.282350 75.340850 13.381217
317     1 2 0.0 127.421721 70.802266 16.268384
318     1 2 0.0 131.707268 71.771686 11.562252
319     1 2 0.0 126.320208 72.325330 8.520884
320     1 2 0.0 130.019293 69.350368 12.352860
321     1 2 0.0 127.929248 73.926193 12.734056
322     1 2 0.0 128.923645 69.006652 14.572077
323     1 2 0.0 128.490589 71.578337 11.969603
324     1 2 0.0 126.225333 72.420601 11.081676
