
50286 atoms
116 bonds

4 atom types
1 bond types

-13.560702 115.208293 xlo xhi
-38.981247 89.806920 ylo yhi
0.000000 206.016399 zlo zhi

Masses

1 28.0855
2 15.9994
3 15.9994
4 1.0080

Atoms

1       1 1 0.0 87.042690 64.992855 13.623726
2       1 1 0.0 77.757622 72.542049 10.501116
3       1 1 0.0 86.610034 65.612329 10.121844
4       1 1 0.0 82.054479 69.758428 10.593722
5       1 2 0.0 85.109748 66.441119 12.760825
6       1 3 0.0 80.662140 70.780203 9.074876
7       1 2 0.0 79.989396 70.073090 7.226201
8       1 2 0.0 84.141549 67.883333 9.791780
9       1 2 0.0 82.929982 69.335830 12.613191
10      1 2 0.0 87.356355 64.857392 12.119358
11      1 2 0.0 80.320746 70.927815 10.991379
12      1 2 0.0 77.043156 72.654390 8.292520
13      1 1 0.0 89.522956 60.440323 10.647501
14      1 1 0.0 81.603417 68.400343 6.935221
15      1 1 0.0 89.427887 61.348114 7.081725
16      1 1 0.0 85.771501 65.561789 6.949659
17      1 2 0.0 87.610857 61.949968 9.911171
18      1 2 0.0 84.714141 66.784759 5.274488
19      1 2 0.0 82.975886 66.025626 4.486977
20      1 2 0.0 87.365517 63.684129 6.528730
21      1 2 0.0 86.838401 64.973057 8.653824
22      1 2 0.0 89.994278 60.425854 9.083239
23      1 2 0.0 84.020376 66.703505 7.417600
24      1 2 0.0 80.770404 68.677295 4.969667
25      1 1 0.0 90.922350 56.107791 8.654634
26      1 1 0.0 84.171792 64.307043 4.508967
27      1 1 0.0 91.119960 57.250004 5.056108
28      1 1 0.0 88.183723 61.485772 4.473789
29      1 2 0.0 89.063735 57.631123 8.008560
30      1 2 0.0 87.404293 62.863346 2.689983
31      1 2 0.0 84.922644 62.000462 2.674889
32      1 2 0.0 89.400139 59.614615 4.332270
33      1 2 0.0 89.342271 60.793995 5.957281
34      1 2 0.0 91.521803 56.201387 7.054107
35      1 2 0.0 86.440359 62.576315 4.987912
36      1 2 0.0 83.296078 64.700200 2.718021
37      1 1 0.0 91.451648 51.952358 7.453364
38      1 1 0.0 85.774749 60.250327 2.944003
39      1 1 0.0 91.896858 53.286925 3.855206
40      1 1 0.0 89.597548 57.502051 2.891787
41      1 2 0.0 89.667770 53.451809 6.872851
42      1 2 0.0 89.060051 58.998163 1.029005
43      1 2 0.0 86.014145 57.993642 1.625441
44      1 2 0.0 90.489540 55.648171 2.983474
45      1 2 0.0 90.801900 56.751516 4.199613
46      1 2 0.0 92.151923 52.144271 5.838808
47      1 2 0.0 87.885950 58.523078 3.429395
48      1 2 0.0 84.888682 60.723105 1.298210
49      1 1 0.0 91.211319 47.953575 6.952289
50      1 1 0.0 86.559883 56.224601 2.108654
51      1 1 0.0 91.858495 49.444135 3.388980
52      1 1 0.0 90.158683 53.597157 2.073203
53      1 2 0.0 89.517757 49.396444 6.418399
54      1 2 0.0 89.836672 55.180771 0.152938
55      1 2 0.0 86.337117 54.003304 1.261296
56      1 2 0.0 90.750449 51.772068 2.377659
57      1 2 0.0 91.386236 52.823522 3.228918
58      1 2 0.0 91.985995 48.235605 5.345422
59      1 2 0.0 88.502034 54.532799 2.612513
60      1 2 0.0 85.676450 56.746011 0.595912
61      1 1 0.0 90.238594 44.103864 7.117533
62      1 1 0.0 86.593497 52.227352 1.943769
63      1 1 0.0 91.039645 45.716503 3.626093
64      1 1 0.0 89.931224 49.765164 1.960651
65      1 2 0.0 88.647579 45.459458 6.614593
